cluster_id,ox,oy,dx,dy,flow,distance_m,riding_time_s,is_workday,origin_id,destination_id,semantics_origin,semantics_dest,semantics_id_origin,semantics_id_dest,category_origin,category_dest,category_id_origin,category_id_dest
135,114.3604974888749,30.544034541683057,114.35207389163278,30.529518628190882,11,2637.6363636363635,754.0909090909091,非工作日,1114.0,178.0,工学部6舍,南二门,106.0,60.0,学生宿舍,交通枢纽,4.0,0.0
114,114.35300072571467,30.529143602476918,114.35232480323845,30.54417536093605,11,2156.4545454545455,692.4545454545455,非工作日,176.0,1139.0,南二门,工学部学生新4栋,60.0,117.0,交通枢纽,学生宿舍,0.0,4.0
163,114.3535255880174,30.541936490681994,114.35271413424212,30.529098253672704,11,1736.909090909091,550.2727272727273,非工作日,824.0,176.0,桂园3舍,南二门,161.0,60.0,学生宿舍,交通枢纽,4.0,0.0
149,114.35271342862157,30.544006057900255,114.35309274184564,30.52907232902704,11,2080.2727272727275,655.0909090909091,非工作日,1139.0,176.0,工学部学生新4栋,南二门,117.0,60.0,学生宿舍,交通枢纽,4.0,0.0
91,114.35219107903654,30.52957182250983,114.35315847284396,30.541282572822205,11,1655.0,623.9090909090909,非工作日,178.0,804.0,南二门,桂园2舍,60.0,160.0,交通枢纽,学生宿舍,0.0,4.0
71,114.37164207977509,30.5374006520031,114.35198120800216,30.52934669491525,11,3463.0,1119.6363636363637,非工作日,102.0,165.0,杨波门,南二门,147.0,60.0,交通枢纽,交通枢纽,0.0,0.0
65,114.36117340510044,30.545313831146277,114.35301506153479,30.529073320866008,11,2887.5454545454545,906.7272727272727,非工作日,1122.0,176.0,体育部,南二门,30.0,60.0,运动场地,交通枢纽,1.0,0.0
172,114.35167199905878,30.54022251131751,114.35185264709402,30.52959667315514,11,2074.3636363636365,717.5454545454545,非工作日,784.0,165.0,卓尔体育馆,南二门,58.0,60.0,运动场地,交通枢纽,1.0,0.0
6,114.35304865108601,30.529197019248123,114.36626533201256,30.534809403942198,10,2037.9,685.4,非工作日,176.0,478.0,南二门,珞东二门,60.0,382.0,交通枢纽,交通枢纽,0.0,0.0
29,114.3520532090732,30.529274554232977,114.36577659118583,30.541394315876175,10,2724.6,802.3,非工作日,174.0,886.0,南二门,武汉大学外国文学学院,60.0,307.0,交通枢纽,教学区域,0.0,6.0
125,114.35304289027613,30.529974876842846,114.35165284911893,30.54035683139727,10,1617.5,467.0,非工作日,177.0,786.0,武汉大学信息学部四食堂,计算机学院,209.0,442.0,学生宿舍,教学区域,4.0,6.0
59,114.35209005031739,30.52940605360854,114.36623549694464,30.534853352932107,10,2113.4,769.7,非工作日,174.0,470.0,南二门,珞东二门,60.0,382.0,交通枢纽,交通枢纽,0.0,0.0
84,114.35445188965855,30.538612078669907,114.35225112759333,30.52973574011631,10,1118.8,406.6,非工作日,610.0,178.0,武汉大学化学与分子科学学院,南二门,256.0,60.0,教学区域,交通枢纽,6.0,0.0
146,114.35202922915548,30.529397652403738,114.35373882964412,30.541807357673907,10,1884.6,754.4,非工作日,165.0,958.0,南二门,桂园6舍,60.0,163.0,交通枢纽,学生宿舍,0.0,4.0
109,114.35936668904947,30.53789784147064,114.3530123570118,30.528902571029683,10,1494.3,475.8,非工作日,687.0,176.0,梅园食堂,南二门,169.0,60.0,食堂,交通枢纽,10.0,0.0
137,114.35228971451026,30.529196707918487,114.36410975355075,30.539254850101237,10,2318.1,810.9,非工作日,174.0,543.0,南二门,枫园14舍,60.0,148.0,交通枢纽,学生宿舍,0.0,4.0
105,114.3566045398978,30.53728709832513,114.35214858813492,30.529257809049888,10,1334.1,503.0,非工作日,591.0,174.0,武汉大学总图书馆,南二门,315.0,60.0,教学区域,交通枢纽,6.0,0.0
82,114.36625048530432,30.534840039447964,114.3530475719704,30.52918251853411,10,1885.0,565.2,非工作日,470.0,176.0,珞东二门,南二门,382.0,60.0,交通枢纽,交通枢纽,0.0,0.0
128,114.35213768578566,30.529191403318805,114.36412815237287,30.544416359000852,9,2588.777777777778,807.8888888888889,非工作日,174.0,1184.0,南二门,湖滨十三舍,60.0,370.0,交通枢纽,学生宿舍,0.0,4.0
118,114.35218030070759,30.529162901204057,114.35833090377446,30.539112987522078,9,2326.6666666666665,816.0,非工作日,174.0,718.0,南二门,武汉大学梅园一舍,60.0,324.0,交通枢纽,学生宿舍,0.0,4.0
92,114.35233265988414,30.529180988825388,114.35225282289366,30.545118960988443,9,2314.3333333333335,859.1111111111111,非工作日,174.0,1168.0,南二门,中区068栋,60.0,21.0,交通枢纽,教工宿舍,0.0,7.0
93,114.35228979050652,30.530853070704534,114.35243717718188,30.544085607020982,9,1672.7777777777778,502.0,非工作日,187.0,1139.0,武汉大学信息部学生宿舍15、16舍,工学部学生新4栋,245.0,117.0,学生宿舍,学生宿舍,4.0,4.0
45,114.35660929050613,30.537279060560177,114.35397076305831,30.5309496200179,9,1277.0,451.0,非工作日,591.0,249.0,武汉大学总图书馆,信息学部4舍,315.0,36.0,教学区域,学生宿舍,6.0,4.0
53,114.36684225127497,30.539825437329917,114.36403242626713,30.53944519988558,9,405.3333333333333,228.88888888888889,非工作日,847.0,854.0,枫园学生4舍,枫园14舍,152.0,148.0,学生宿舍,学生宿舍,4.0,4.0
119,114.35210161834662,30.529225782858905,114.35895298704651,30.538486403352458,9,1964.4444444444443,651.0,非工作日,174.0,690.0,南二门,梅园食堂,60.0,169.0,交通枢纽,食堂,0.0,10.0
60,114.3587098448304,30.53807788139649,114.3539140346471,30.542083294069016,9,1134.3333333333333,402.3333333333333,非工作日,692.0,958.0,武汉大学梅园六舍,桂园6舍,327.0,163.0,学生宿舍,学生宿舍,4.0,4.0
48,114.35370111266573,30.530996161105445,114.36625192025286,30.534850097750905,9,1603.6666666666667,526.0,非工作日,188.0,470.0,学生一、二食堂,珞东二门,83.0,382.0,食堂,交通枢纽,10.0,0.0
159,114.35312803415746,30.528640587138316,114.35167956874807,30.54037575227594,9,1884.4444444444443,578.3333333333334,非工作日,173.0,786.0,南二门,计算机学院,60.0,442.0,交通枢纽,教学区域,0.0,6.0
46,114.35195934412857,30.534454639990642,114.3591203329314,30.538573334911128,9,1098.888888888889,384.44444444444446,非工作日,436.0,693.0,牌坊,武汉大学梅园四、五舍,378.0,328.0,交通枢纽,学生宿舍,0.0,4.0
120,114.36050963992778,30.543784367477606,114.35216374609215,30.529520552402087,9,2614.777777777778,825.3333333333334,非工作日,1090.0,178.0,工学部15舍,南二门,96.0,60.0,学生宿舍,交通枢纽,4.0,0.0
40,114.3529172960879,30.529147140055926,114.36593462717684,30.539954490983597,8,2385.875,691.75,非工作日,176.0,840.0,南二门,枫园一舍,60.0,149.0,交通枢纽,学生宿舍,0.0,4.0
33,114.36071291587376,30.546450646005198,114.36624063777226,30.534842196410658,8,2869.375,906.25,非工作日,1218.0,470.0,武汉大学青年互助服务中心,珞东二门,345.0,382.0,教学区域,交通枢纽,6.0,0.0
8,114.34978011513508,30.52925310651429,114.35246296506102,30.5403603200274,8,1697.125,597.0,非工作日,162.0,798.0,国际软件学院C3宿舍,电子信息学院,74.0,391.0,学生宿舍,教学区域,6.0,6.0
4,114.35220644357452,30.529212108092054,114.36115356588463,30.54347181396214,8,2820.0,942.875,非工作日,174.0,1088.0,南二门,工学部16舍,60.0,97.0,交通枢纽,学生宿舍,0.0,4.0
155,114.35249303880046,30.543987533575535,114.35281230199065,30.529165922756597,8,1974.375,672.625,非工作日,1139.0,176.0,工学部学生新4栋,南二门,117.0,60.0,学生宿舍,交通枢纽,4.0,0.0
157,114.3670339762836,30.53973230062844,114.3519411808578,30.529442538966624,8,3047.625,925.5,非工作日,847.0,165.0,枫园学生4舍,南二门,152.0,60.0,学生宿舍,交通枢纽,4.0,0.0
